Name,Description,Brain1,Brain2,Brain3,Blood1,Blood2,Blood3
ENSG00000187608,ISG15,49.11,36.71,25.1,92.43,8.641,86.62
ENSG00000231702,RP11-54O7.10,0.3771,0,0,0,0,0
ENSG00000224969,RP11-54O7.11,0.5196,0.2259,0.3797,0.0833,0,0
ENSG00000188157,AGRN,23.72,14.92,2.702,0.9617,0.0884,1.53
ENSG00000217801,RP11-465B22.3,3.661,0.8574,0.6986,0.1916,0.1365,0.33
ENSG00000273443,RP11-54O7.18,0.063,0.0377,0.2533,0.2779,0,0.2393
ENSG00000237330,RNF223,0.1053,0.028,0.1254,0.0619,0,0.0666
ENSG00000131591,C1orf159,5.518,4.429,1.317,5.411,0.3103,8.862
ENSG00000223823,LINC01342,0.0687,0.115,0.2208,0.0242,0,0.1304
ENSG00000207730,MIR200B,0,0,0,0,0,0
ENSG00000207607,MIR200A,0,0.2956,0,0,0,0
ENSG00000198976,MIR429,0,0.3205,0.7182,0,0,0
ENSG00000272141,RP11-465B22.8,0.0225,0.2696,0.2718,0.0795,0,0.0856
ENSG00000205231,TTLL10-AS1,0.0156,0.0373,0.1567,0.0138,0.0098,0.1184
ENSG00000162571,TTLL10,0.093,0.0257,0.2108,0.0252,0.018,0.2037
ENSG00000186891,TNFRSF18,1.461,0.2525,0.4786,26.41,2.061,27.96
ENSG00000186827,TNFRSF4,0.6454,0.2724,0.4832,16.51,1.503,41.81
ENSG00000078808,SDF4,45.23,46.25,13.73,54.97,6.501,94.37
ENSG00000176022,B3GALT6,20.22,8.498,3.284,3.052,0.3927,4.67
ENSG00000184163,C1QTNF12,1.417,1.207,0.4028,1.212,0,0.9785
ENSG00000260179,RP5-902P8.12,0.3427,0.3415,0.1531,0.3778,0.018,0.4338
ENSG00000160087,UBE2J2,16.46,14.66,4.557,6.719,1.226,13.69
ENSG00000230415,LINC01786,2.515,2.697,0.6972,0.918,0.218,1.647
ENSG00000162572,SCNN1D,8.816,7.192,1.563,2.184,0.1876,5.31
ENSG00000131584,ACAP3,98.26,39.63,14.55,20.54,2.212,37.61
ENSG00000278073,MIR6726,0,0,0,0,0,0
ENSG00000169972,PUSL1,9.915,10.72,2.43,5.85,0.5427,13.74
ENSG00000127054,INTS11,20.71,19.71,4.308,25.54,2.725,45.78
ENSG00000283712,MIR6727,0,0,0,0,0,0.6498
ENSG00000240731,RP5-890O3.9,7.119,4.611,2.226,3.663,0.6711,7.209
ENSG00000224051,CPTP,15.55,15.5,4.933,6.494,0.9845,20.06
ENSG00000169962,TAS1R3,0.5232,0.1955,0.3505,0.5652,0.1315,1.813
ENSG00000107404,DVL1,91.28,54.38,21.77,12.42,1.551,35.29
ENSG00000284372,MIR6808,0,0,0,0,0,0
ENSG00000162576,MXRA8,12.99,12.41,4.43,1.245,0.2445,5.608
ENSG00000175756,AURKAIP1,91.01,78.86,34.52,37.1,7.288,72.2
ENSG00000223663,NDUFB4P8,0.4243,0.145,0.4873,0,0,0
ENSG00000221978,CCNL2,34.2,33.77,4.957,28.79,4.077,62.43
ENSG00000224870,RP4-758J18.2,13.27,12.04,4.681,4.646,0.5072,8.609
ENSG00000242485,MRPL20,67.98,53.65,21.82,17.02,2.421,37.42
ENSG00000272455,RP4-758J18.13,2.746,2.987,0.9198,0.2834,0,0.4437
ENSG00000235098,ANKRD65,11.53,24.84,9.901,0.1182,0.0481,0.1636
ENSG00000225905,RP4-758J18.7,3.093,3.579,1.203,0,0,0
ENSG00000205116,TMEM88B,28.08,14.76,4.604,0,0,0
ENSG00000225285,LINC01770,0.7843,1.626,0.3503,0,0.0329,0
ENSG00000179403,VWA1,16.24,23.36,5.985,0.1162,0.0552,0.3836
ENSG00000215915,ATAD3C,0.3632,1.344,0.9423,0.2847,0.029,0.2955
ENSG00000160072,ATAD3B,4.457,8.261,1.015,13.65,1.098,22.79
ENSG00000197785,ATAD3A,7.895,7.407,2.041,8.239,0.379,13.67
ENSG00000205090,TMEM240,18.49,8.945,4.298,0.2559,0.0405,0.9182
ENSG00000160075,SSU72,36.21,25.95,10.5,19.88,3.217,41.8
ENSG00000215014,RP5-832C2.5,1.842,0.7851,0.5958,0.0934,0.0133,0.2211
ENSG00000274481,RP11-345P4.11,0,0.0665,0.2235,0,0,0
ENSG00000228594,FNDC10,23.57,10.88,7.277,2.823,0.0268,3.383
ENSG00000272106,RP11-345P4.9,37.91,25.77,12.01,1.812,0.2306,5.155
ENSG00000197530,MIB2,28.6,17.72,5.121,23.57,2.57,32.53
ENSG00000189409,MMP23B,0.1877,0.0623,0.0978,1.048,0.1572,1.287
ENSG00000248333,CDK11B,14.53,17.18,4.897,17.53,2.382,34.05
ENSG00000272004,RP11-345P4.10,0,0,0,0,0,0
ENSG00000189339,SLC35E2B,18.39,6.653,2.464,6.682,1.038,20.2
ENSG00000269737,RP11-345P4.6,0.4036,0.3071,0.0819,0.9924,0.123,2.438
ENSG00000215914,MMP23A,0.4156,0.2354,0,0,0.0275,1.454
ENSG00000008128,CDK11A,5.717,5.555,1.301,7.706,2.415,24.43
ENSG00000227775,RP1-283E3.4,3.799,1.915,0.3223,2.751,0.4274,3.339
ENSG00000215790,SLC35E2,2.862,0.9183,0.6921,0.7388,0.1842,3.592
ENSG00000008130,NADK,13.18,11.08,3.183,93.36,7.675,98.97
ENSG00000078369,GNB1,264.1,156.3,69.78,140.4,16.58,215
ENSG00000231050,RP1-140A9.1,1.277,0.9984,0.2961,0.2166,0.0926,0.4662
ENSG00000169885,CALML6,0.6947,0.2125,0.0433,0.4275,0,3.865
ENSG00000178821,TMEM52,1.885,1.438,0.8749,0,0,5.636
ENSG00000142609,CFAP74,1.219,0.7315,0.0715,0.0145,0,0
ENSG00000233542,RP11-547D24.1,0.9678,0.3132,0.0458,0,0,0
ENSG00000187730,GABRD,47.12,11.72,2.799,0.0301,0,0.1295
ENSG00000226969,RP11-547D24.3,0,0,0,0,0,0.0785
ENSG00000067606,PRKCZ,26.07,7.022,2.927,2.079,0.2168,3.937
ENSG00000271806,RP5-892K4.1,0.017,0.0338,0.0152,0.3195,0.0142,0.1827
ENSG00000182873,PRKCZ-AS1,1.994,2.562,0.7041,3.756,0.0847,5.296
ENSG00000162585,FAAP20,5.979,5.963,3.765,3.946,0.5199,8.724
ENSG00000234396,RP11-181G12.4,0.0967,0,0,0,0,0
ENSG00000157933,SKI,24.7,19.28,5.911,7.709,0.428,12.94
ENSG00000116151,MORN1,1.108,1.053,0.2929,0.2893,0.0229,0.3921
ENSG00000272161,RP4-713A8.1,0.5866,0.4857,0,0,0,0.1714
ENSG00000269896,RP4-740C4.5,2.043,0.8069,0.3963,0.163,0.0232,1.141
ENSG00000272420,RP4-740C4.7,4.974,2.717,0.9971,0.4145,0,0.6693
ENSG00000157916,RER1,17.67,21.43,7.853,15.24,2.68,26.04
ENSG00000157911,PEX10,22.23,22.65,10.73,2.006,0.5815,4.941
ENSG00000149527,PLCH2,19.52,10.37,0.9232,13.26,0.6766,15.11
ENSG00000224387,RP3-395M20.2,0.5867,0.2924,0,0.69,0.0614,0.1857
ENSG00000229393,RP3-395M20.3,1.385,0,0,0.1527,0.0544,0.2465
ENSG00000157881,PANK4,6.492,6.499,1.32,15.2,1.44,27.51
ENSG00000197921,HES5,16.35,2.567,7.052,0.1803,0,0.2587
ENSG00000272449,RP3-395M20.12,11.37,5.503,1.736,15.92,0.393,13.7
ENSG00000238164,RP3-395M20.8,0.3774,0.3861,0.0562,7.115,0.469,7.236
ENSG00000157873,TNFRSF14,10.33,12.15,2.42,145.9,10.22,200.1
ENSG00000225931,RP3-395M20.7,0.1029,0.0615,0.023,1.029,0,1.107
ENSG00000228037,RP3-395M20.9,0.2132,0.34,0.0476,1.128,0.268,3.913
ENSG00000157870,FAM213B,42.05,23.41,7.873,13.21,1.152,18.9
ENSG00000142606,MMEL1,0.3565,1.01,0.0208,0.3964,0.0584,0.3237
ENSG00000237058,RP13-436F16.1,0.206,0,0.276,0,0,0
ENSG00000215912,TTC34,0.622,0.3361,0.129,0.1331,0.0131,0.4348
ENSG00000283259,ABC14-1188822O7.1,0.0142,0,0,0,0,0
ENSG00000233234,RP11-740P5.2,0,0,0,0,0,0
ENSG00000231630,RP11-740P5.3,0,0,0,0,0,0
ENSG00000169717,ACTRT2,0,0,0,0,0,0
ENSG00000177133,LINC00982,12.28,15.22,14.78,0.042,0.03,0.0151
ENSG00000142611,PRDM16,2.645,3.275,1.923,0.0634,0.0211,0.0864
ENSG00000283572,MIR4251,0,0,0,0,0,0
ENSG00000226286,RP1-163G9.2,0,0,0,0,0,0
ENSG00000279839,RP11-193J6.1,0,0.0795,0,0,0,0
ENSG00000272235,RP11-22L13.1,0.1671,0.4535,0.1722,0,0,0
ENSG00000130762,ARHGEF16,0.9856,0.8721,0.4427,0.01,0,0.0649
ENSG00000272088,RP11-168F9.2,0.1165,0.1393,0,0,0,0
ENSG00000162591,MEGF6,1.692,1.635,0.2742,8.626,0.3215,21.82
ENSG00000207776,MIR551A,0,0,0,0,0,0
ENSG00000238260,RP11-46F15.2,3.183,1.54,0.3834,0.694,0.3596,1.494
ENSG00000158109,TPRG1L,96.37,43.14,21.25,22.32,8.803,42.89
ENSG00000116213,WRAP73,9.376,9.315,1.633,11.72,1.031,19.13
ENSG00000078900,TP73,0.4131,0.5478,0.3068,0.1822,0.0056,0.4348
ENSG00000227589,RP5-1092A11.5,0,0,0,0,0,0.112
ENSG00000235131,RP5-1092A11.2,0,0,0,0,0,0
ENSG00000227372,TP73-AS1,7.046,6.083,2.039,1.881,0.4077,4.888
ENSG00000162592,CCDC27,0.0288,0.0459,0.0514,0,0,0.0182
ENSG00000235169,SMIM1,1.119,1.366,0.8123,90.95,28.28,6.331
ENSG00000130764,LRRC47,17.1,15.17,4.27,5.613,1.026,10.1
ENSG00000266075,RN7SL574P,0,0.1792,0,0,0.0941,0.4267
ENSG00000272153,RP1-286D6.5,1.128,0.9639,0.144,1.232,0,2.449
ENSG00000116198,CEP104,6.883,5.422,2.882,2.644,0.7137,5.368
ENSG00000169598,DFFB,3.163,1.944,0.4941,1.676,0.2907,3.489
ENSG00000198912,C1orf174,8.011,6.425,2.252,10.05,1.04,13.21
ENSG00000236423,LINC01134,0.0328,0.0262,0,0.0193,0.0138,0.0832
ENSG00000233304,LINC01346,0.5028,0.1776,0.0459,0,0,0
ENSG00000226374,LINC01345,0.0601,0,0,0,0,0
ENSG00000229280,EEF1DP6,0,0,0,0,0,0
ENSG00000235054,LINC01777,0.0211,0.0759,0,0,0,0
ENSG00000227169,RP1-37J18.1,0,0,0,0,0,0
ENSG00000232596,LINC01646,0,0,0,0,0,0
ENSG00000196581,AJAP1,6.835,2.207,0.6728,0.0443,0,0.0136
ENSG00000231510,RP11-542C10.1,0,0,0,0,0,0
ENSG00000260972,RP1-58B11.1,0,0,0.0351,0,0,0
ENSG00000283356,RP3-491M17.1,0,0,0,0,0,0
ENSG00000236948,RP11-154H17.1,1.016,0.5831,0.0272,0,0,0
ENSG00000264341,MIR4417,0,0,0,0,0,0
ENSG00000264101,MIR4689,0,0,0,0,0,0
ENSG00000131697,NPHP4,3.445,2.388,0.9132,1.855,0.2994,3.597
ENSG00000069424,KCNAB2,79.51,25.58,13.87,56.23,7.116,71.83
ENSG00000116254,CHD5,37.98,11.77,4.412,0.1032,0.0028,0.0555
ENSG00000116251,RPL22,119.3,101.7,76.04,50.7,6.834,146.7
ENSG00000226944,RP1-120G22.11,2.59,0.7742,0.552,0,0,0
ENSG00000158286,RNF207,4.629,1.847,0.3566,0.99,0.0945,3.493
ENSG00000116237,ICMT,14.37,12.3,4.114,2.794,0.7568,7.378
ENSG00000225077,LINC00337,0.0264,0,0,0.0699,0,0.1003
ENSG00000173673,HES3,0.0319,0,0,0,0,0
ENSG00000158292,GPR153,24.82,6.452,2.665,1.384,0.2192,1.035
ENSG00000097021,ACOT7,54.45,19.02,5.825,7.286,0.3238,9.402
ENSG00000069812,HES2,0,0,0.011,0,0.0103,0
ENSG00000187017,ESPN,0.1505,0.028,0.1569,4.479,4.545,1.67
ENSG00000265392,MIR4252,0,0,0,0,0,0
ENSG00000231868,RP1-202O8.2,0,0,0,0.1178,0,0.1268
ENSG00000215788,TNFRSF25,11.72,7.307,1.234,14.39,2.088,61.73
ENSG00000171680,PLEKHG5,12.55,6.936,1.714,0.3537,0.0412,2.665
ENSG00000162408,NOL9,3.66,2.289,1.053,1.399,0.1388,3.691
ENSG00000253022,RNU6-731P,0,0,0,0,0,0
ENSG00000229519,RP11-58A11.2,0,0.0664,0.1487,0,0,0.1053
ENSG00000173662,TAS1R1,0.1231,0.0276,0.0412,0.0271,0,0.1168
ENSG00000204859,ZBTB48,8.604,6.776,2.127,28.39,2.665,52.64
ENSG00000162413,KLHL21,11.19,11.07,3.905,13.56,1.844,15.93
ENSG00000116273,PHF13,6.908,9.873,1.798,6.738,0.6609,12.73
ENSG00000041988,THAP3,8.142,7.752,2.798,3.506,0.8115,7.865
ENSG00000007923,DNAJC11,8.555,5.7,2.554,4.413,0.3816,8.369
ENSG00000228750,LINC01672,0.0203,0,0,0,0,0
ENSG00000237436,RP11-312B8.1,0.8577,0.7052,0.2873,0,0,0.1018
ENSG00000171735,CAMTA1,13.87,8.952,4.917,1.068,0.1226,2.661
ENSG00000227950,RP11-312B8.2,0,0,0,0,0,0
ENSG00000237365,RP11-334N17.1,0,0,0,0,0,0
ENSG00000207056,RNU1-8P,0,0,0,0,0,0
ENSG00000237402,CAMTA1-IT1,0.0609,0.4373,0.1633,0,0,0.1157
ENSG00000237728,RP3-453P22.2,0,0,0,0,0,0
ENSG00000225126,RP4-549F15.1,0.0616,0,0,0,0,0
ENSG00000270171,RP11-338N10.1,1.461,1.778,0.5023,0,0,0.0491
ENSG00000270035,RP11-338N10.2,1.366,1.214,0.2615,0,0,0.2964
ENSG00000269978,RP11-338N10.3,2.083,2.292,0.5582,0,0,0.3164
ENSG00000049245,VAMP3,47.07,70.62,30.29,50.2,3.794,63.15
ENSG00000269925,RP3-467L1.6,1.189,0.2708,0.3034,2.896,0,3.869
ENSG00000049246,PER3,14.15,12.08,5.407,0.524,0.0427,0.8783
ENSG00000236266,RP3-467L1.4,1.078,1.699,0.3939,0.4322,0,0.3721
ENSG00000049247,UTS2,0,0,0,1.446,0.2423,1.236
ENSG00000049249,TNFRSF9,0.0035,0,0,2.696,0.0353,2.775
ENSG00000270330,RP5-892F13.2,0,0,0,0,0,0
ENSG00000116288,PARK7,213.9,190.5,104.1,53.61,8.648,103.6
ENSG00000200344,Y_RNA,0,0,0,0.381,0,0.8202
ENSG00000116285,ERRFI1,7.871,9.12,5.234,1.237,0.4676,0.9586
ENSG00000238290,RP11-431K24.1,0.0871,0.1302,0,0,0.0547,0.0413
ENSG00000232848,CTA-215D11.4,0.0278,0.0333,0,0,0,0.0528
ENSG00000229305,RP11-431K24.2,0,0,0,0,0,0
ENSG00000227634,LINC01714,0,0,0,0,0,0
ENSG00000200975,RNU1-7P,0,0,0,0,0,0
ENSG00000233645,RP11-431K24.4,0,0,0,0,0,0.0886
ENSG00000251977,RNU6-991P,0,0,0,0,0,0
ENSG00000162426,SLC45A1,8.245,4.864,1.862,0.195,0,0.5548
ENSG00000252254,Y_RNA,0,0,0,0,0,0
ENSG00000142599,RERE,20.49,13.06,5.853,16.58,0.5322,22.34
ENSG00000232912,RP5-1115A15.1,0.412,0.1895,0.1274,1.957,0.1195,1.865
ENSG00000221083,SNORA77,0.178,0.6385,0,0,0,0.3379
ENSG00000270282,RP5-1115A15.2,0.1809,0,0,0,0,0.2289
ENSG00000234619,RPL7P11,0.1014,0.0404,0.0453,0,0,0
ENSG00000224315,RPL7P7,0.1266,0.1135,0.1272,0,0,0
ENSG00000222511,Y_RNA,0,0,0,0,0,0
ENSG00000226545,RP4-633I8.3,0,0,0,0,0,0.1018
ENSG00000228423,RP4-633I8.4,0,0,0,0,0,0
ENSG00000229716,RPL23AP19,0,0,0,0,0,0
ENSG00000074800,ENO1,483.6,510.6,306.3,861.5,73.06,980.4
ENSG00000274258,MIR6728,0,0,0,0,0,0.4746
ENSG00000236269,ENO1-IT1,0.0897,0,0,3.007,0.1879,3.236
ENSG00000230679,ENO1-AS1,0.4045,0.8062,0.5419,0.2378,0,0
ENSG00000201725,RNU6-304P,0,0,0,0,0,0
ENSG00000238249,HMGN2P17,0.2096,0.1074,0,0.2113,0,0.2274
ENSG00000232208,RP3-477M7.5,0.6952,0,0,1.003,0.1589,3.84
ENSG00000232663,RP3-477M7.6,0,0,0,0,0,0
ENSG00000131686,CA6,0.0669,0,0.0448,0.0442,0,0.4125
ENSG00000265141,RN7SL451P,0,0,0,0,0,0.2825
ENSG00000197241,SLC2A7,0.0289,0,0,0,0,0
ENSG00000142583,SLC2A5,3.346,20.58,0.5092,2.634,0.1194,2.017
ENSG00000252404,SCARNA16,0,0,0,0,0,0
ENSG00000180758,GPR157,0.207,0.3487,0.0906,0.2907,0.0637,0.9868
ENSG00000228526,MIR34AHG,1.076,1.492,0.1627,0.0779,0.0139,0.0629
ENSG00000234546,LINC01759,0.1265,0.4971,0.0969,0,0,0.0686
ENSG00000281937,RP3-510D11.4,0.0631,0,0.0676,0,0,0.0239
ENSG00000049239,H6PD,4.587,7.267,1.413,5.991,0.519,9.915
ENSG00000171621,SPSB1,2.752,5.269,0.9372,0.8418,0.1068,1.8
ENSG00000252956,RNA5SP40,0,0,0,0,0,0
ENSG00000235263,RP13-392I16.1,0,0.0751,0.0842,0,0,0
ENSG00000171612,SLC25A33,11.9,11.42,8.492,0.9266,0.0435,1.436
ENSG00000231181,RP13-15M17.1,0.199,0.0476,0,0,0,0.4534
ENSG00000188807,TMEM201,5.097,3.56,1.237,1.003,0.0763,2.341
ENSG00000171608,PIK3CD,4.383,3.56,1.019,58.41,4.007,110.9
ENSG00000179840,PIK3CD-AS1,0.0244,0,0,1.528,0.1227,1.83
ENSG00000233268,RP11-558F24.2,0,0,0,0.0932,0,0
ENSG00000231789,PIK3CD-AS2,0.2843,0.4533,0.127,0.2508,0.0595,0.5848
ENSG00000171603,CLSTN1,100.4,76.49,22.31,14.45,1.477,26.92
ENSG00000271264,MZT1P1,0,0,0,0,0,0.1717
ENSG00000280113,RP11-84A14.7,0.0897,0,0,0.0198,0,0
ENSG00000178585,CTNNBIP1,29.86,18.1,11,6.502,0.2782,10.2
ENSG00000162441,LZIC,14.89,12.04,7.803,2.959,0.5406,6.109
ENSG00000228150,RP11-84A14.4,0.3034,0.3628,0.1355,0.2676,0,0.288
ENSG00000173614,NMNAT1,2.899,2.39,1.043,1.091,0.0737,1.741
ENSG00000202415,RN7SKP269,0,0.0834,0,0.3691,0,0
ENSG00000283611,RP11-84A14.6,0.27,0.1937,0.0723,0,0,0
ENSG00000265521,MIR5697,0,0,0,0,0,0
ENSG00000162444,RBP7,14.06,11.03,5.193,12.22,2.793,27.67
ENSG00000130939,UBE4B,10.88,7.019,2.796,5.662,1.012,10.2
ENSG00000224340,RP11-496H15.2,0,0,0,0,0,0
ENSG00000233623,PGAM1P11,0,0.0783,0,0,0,0
ENSG00000201746,RNU6-828P,0,0,0,0,0,0
ENSG00000054523,KIF1B,64.31,30.39,16.28,2.424,0.357,4.592
ENSG00000264881,MIR1273D,0,0,0,0.4563,0,0
ENSG00000199562,RNU6-37P,0.2079,0.2486,0,0,0,0.3948
ENSG00000142657,PGD,41.11,50.68,13.52,287.3,46.91,465.8
ENSG00000271989,RP4-736L20.3,0,0,0,0,0,0
ENSG00000175279,CENPS,12.16,6.915,2.961,0.6781,0.2214,1.673
ENSG00000241563,CORT,24.96,8.641,3.35,0.6251,1.707,0.299
ENSG00000160049,DFFA,11.15,10.4,2.789,2.295,0.3543,5.188
ENSG00000142655,PEX14,14.87,11.82,3.978,11.45,1.312,19.78
ENSG00000243267,RN7SL614P,0.0795,0.095,0,0.2803,0,0.3017
ENSG00000130940,CASZ1,0.1494,0.3658,0.0524,2.673,0.161,2.222
ENSG00000272078,RP4-734G22.3,0.1182,0.2937,0.0122,1.604,0.0229,1.761
ENSG00000225158,HSPE1P24,0,0,0,0,0,0
ENSG00000175262,C1orf127,0.0478,0,0,0.2389,0.02,0.4539
ENSG00000215785,CFL1P6,0,0,0,0.0794,0,0
ENSG00000120948,TARDBP,35.9,33.12,14.31,11.81,1.51,26.93
ENSG00000009724,MASP2,1.038,0.5678,0.1178,0.0465,0.0221,0.1002
ENSG00000271895,RP4-635E18.8,15.78,13.75,3.862,1.728,0.3517,2.975
ENSG00000116649,SRM,55.99,44.54,19.75,18.06,1.672,41.09
ENSG00000171824,EXOSC10,24.08,21.96,5.872,23.19,2.108,43.12
ENSG00000226849,RP4-635E18.7,0.9311,1.503,0.218,2.073,0.1591,4.651
ENSG00000230337,RP4-635E18.6,1.72,1.206,1.431,0,0,0
ENSG00000198793,MTOR,8.546,5.61,1.363,3.308,0.3313,6.074
ENSG00000225602,MTOR-AS1,0,0,0,0,0,0
ENSG00000253086,RNU6-537P,0,0,0,0,0,0
ENSG00000171819,ANGPTL7,0.1591,0.0713,0.0932,0,0,0.0377
ENSG00000207451,RNU6-291P,0,0,0,0,0,0
ENSG00000238173,RPL39P6,0,0,0,0,0,0
ENSG00000120942,UBIAD1,3.883,3.612,1.114,2.803,0.3026,6.225
ENSG00000238199,UBE2V2P3,0.1527,0,0,0,0,0.0967
ENSG00000224338,MTCYBP45,0,0.0471,0,0,0,0
ENSG00000204624,DISP3,3.035,2.252,0.7765,0.1214,0.0182,0.1444
ENSG00000235643,LINC01647,0,0,0,0,0,0
ENSG00000116661,FBXO2,426.4,521.6,158.8,2.213,0.3012,4.711
ENSG00000132879,FBXO44,76.47,43.86,14.55,14.43,2.127,26.73
ENSG00000116663,FBXO6,11.49,12.34,3.843,26.88,2.355,25.84
ENSG00000116670,MAD2L2,12.5,18.69,4.232,16.65,1.852,24.23
ENSG00000162490,DRAXIN,1.511,2.195,0.3611,0.8921,0.0685,0.345
ENSG00000177674,AGTRAP,7.401,15.79,4.823,75.54,9.382,107.9
ENSG00000215910,C1orf167,0,0,0.0077,0.0302,0,0.0542
ENSG00000177553,RP11-56N19.5,0,0,0,0,0,0
ENSG00000177000,MTHFR,5.127,3.509,0.9762,6.981,0.4516,9.001
ENSG00000011021,CLCN6,16.89,12.03,3.549,5.397,0.4737,7.39
ENSG00000242349,NPPA-AS1,1.027,0.4093,0.0573,2.113,0.6453,2.193
ENSG00000175206,NPPA,3.708,0.9251,0.7863,2.964,15.82,1.114
ENSG00000120937,NPPB,0.0641,0,0.1718,0,0.1612,0.1217
ENSG00000224904,RP5-934G17.6,0,0.0303,0,0.0298,0,0
