"Taxonomy_ID","Organism_Name","Host","GC_content","Size_Kb","Number_Of_Proteins"
1792269,"Staphylococcus phage CNPx","bacteria",34.7,43.293,69
1416349,"Equine hepacivirus JPN3/JAPAN/2013","vertebrates",50.4,9.355,1
122280,"Potato virus Y strain NTN","land plants",41.8,9.702,1
1923382,"Sanxia sobemo-like virus 3","invertebrates",43.2,3.216,2
2548037,"Streptococcus phage Javan189","bacteria",39.3,40.414,53
1881013,"Senna mosaic virus","land plants",49.3,6.775,5
2530032,"Burkholderia phage BcepSaruman","bacteria",58.1,263.735,445
1923250,"Hubei tetragnatha maxillosa virus 8","invertebrates",38.1402,6.641,4
1962679,"Pseudomonas phage PAXYB1","bacteria",62.3,43.337,60
1874570,"Lactococcus phage 10W24","bacteria",34.9,31.866,61
31742,"Johnsongrass mosaic virus","land plants",42.1,9.779,2
2558782,"Streptococcus satellite phage Javan612","bacteria",37.4,7.858,12
2603542,"Heterobasidion mitovirus 2","fungi",39.4,2.923,1
2548001,"Streptococcus phage Javan14","bacteria",36,43.47,65
424360,"Bat coronavirus HKU4-2","vertebrates",37.8,30.286,9
1500757,"Pseudomonas phage phiPSA1","bacteria",58.6,51.09,52
2047788,"Gluconobacter phage GC1","bacteria",50.5,16.523,36
931972,"Murine adenovirus 2","vertebrates",63.4,35.203,27
555980,"Sida micrantha mosaic virus - [Brazil:okra]","land plants",47.0035,5.337,7
981403,"Eggplant mild leaf mottle virus","land plants",43.5,9.28,1
2283028,"Pseudomonas phage YMC12/01/R24","bacteria",64.8,46.148,70
2039884,"Bacillus phage BC01","bacteria",39.9,158.385,239
673838,"Enterococcus phage phiFL3B","bacteria",34.5,40.275,66
2094132,"Microbacterium phage Gelo","bacteria",63.4,41.562,62
2547989,"Streptococcus phage Javan122","bacteria",40.8,39.241,44
1654889,"Salmonella phage 36","bacteria",43.5,41.085,91
1922669,"Beihai shrimp virus 3","invertebrates",48.7565,18.814,4
1235656,"Propionibacterium phage PHL114L00","bacteria",54.2,29.464,46
2686212,"Mycobacterium phage Yokurt","bacteria",61.5,52.123,99
3056595,"Erwinia phage Farigoule","bacteria",44.3,53.82,76
2079404,"Propionibacterium phage pa3-SS3","bacteria",54.4,29.137,43
1922837,"Hubei astro-like virus","invertebrates",48.9,6.784,4
2608298,"Pectobacterium phage MA2","bacteria",51.8,41.857,34
2652411,"Gordonia phage CherryonLim","bacteria",60.2,48.948,72
2710503,"Bacteroides phage HNL35","bacteria",46.1,37.928,47
908040,"Bhendi yellow vein India virus [India:Kolkata OY66:2005]","land plants",44,2.741,7
1916153,"Streptococcus phage IPP12","bacteria",40.3,34.428,57
761702,"Soybean chlorotic blotch virus","land plants",44.4722,5.355,9
1810945,"Sapphire II virus","invertebrates",41.933,18.642,3
2736288,"Vibrio phage River4","bacteria",40.2,128.425,197
2064740,"Rhesus adenovirus 64","vertebrates",54.9,35.213,24
2069371,"Rodent Cardiovirus","vertebrates",46.6,8.186,1
2906560,"Aeromonas phage AhMtk13a","bacteria",41.2,163.879,246
1449827,"Human papillomavirus 180","human",36.4,7.356,7
1608072,"Shuangao Bedbug Virus 2","invertebrates",35.8,10.925,3
2740140,"Forsythia suspensa tombusvirus","land plants",60.8,4.433,3
2510526,"Streptomyces phage Nishikigoi","bacteria",66.8,50.66,82
1475063,"Porcine stool-associated circular virus 5","vertebrates",36.9,3.062,2
1923656,"Wenzhou shrimp virus 9","invertebrates",52.0436,4.609,3
1618247,"Avon-Heathcote Estuary associated circular virus 23","invertebrates",40.5,1.942,2
2070723,"Vibrio phage 1.083.O._10N.286.52.B9","bacteria",38.7,45.12,61
2911432,"Pseudomonas phage M6","bacteria",64.5,59.446,85
11819,"Spleen focus-forming virus","vertebrates",53.7,6.296,4
68033,"Carrot mottle virus","land plants",54,4.193,4
1124849,"Pseudomonas phage OBP","bacteria",43.5,284.757,309
2419633,"Streptococcus phage SW13","bacteria",39.2,36.587,41
2736817,"Enterococcus phage vB_EhiS_268","bacteria",34.75,81.084,134
2562519,"Manglie virus","invertebrates",47.4,9.218,3
551454,"Carnation necrotic fleck virus","land plants",44.3,10.557,4
2501285,"Setosphaeria turcica ambiguivirus 1","fungi",54.5,3.478,2
2591411,"Brevibacterium phage AGM1","bacteria",60.8,36.032,53
1682341,"Human papillomavirus 202","human",39.5,7.344,7
1618239,"Avon-Heathcote Estuary associated circular virus 16","invertebrates",53,1.99,2
1766829,"Mangshi virus","invertebrates",44.3594,20.622,12
2696462,"Escherichia phage welsh","bacteria",54.6,45.207,58
2592197,"Salmonella phage SE18","bacteria",40.1,110.795,147
2108125,"Mycobacterium phage KittenMittens","bacteria",64.5,49.894,78
445435,"Asparagus virus 3","land plants",52.7,6.985,5
2161882,"Coconut foliar decay alphasatellite R","land plants",49.6,1.272,2
2743989,"Gordonia phage Upyo","bacteria",67.9,45.732,70
2259779,"Linepithema humile partiti-like virus 1","invertebrates",41.3509,3.247,2
1897752,"Vibrio phage pVa-2","bacteria",43,53.286,89
1502101,"Sclerotinia sclerotiorum debilitation-associated RNA virus 2","fungi",42.1,5.534,1
2563563,"Pseudomonas phage vB_Pae_CF23b","bacteria",64.3,37.682,57
2743924,"Microbacterium phage PoRanda","bacteria",69.1,17.51,25
10479,"Thermoproteus tenax virus 1","archaea",37,13.669,37
1881365,"Vibrio phage 1.272.O._10N.286.54.C4","bacteria",48.6,59.297,85
467989,"Imjin virus","vertebrates",36.4769,11.797,3
2576522,"Escherichia phage vB_EcoS-26046V","bacteria",44.4,44.219,66
1126950,"Bacillus phage BCP78","bacteria",39.9,156.176,227
2716764,"Fusarium sacchari hypovirus 1","fungi",40.8,13.969,1
338135,"Enterobacteria phage WA6","bacteria",46.5,5.529,11
1272955,"Puchong virus","invertebrates",37.8,14.932,10
1922720,"Beihai tombus-like virus 17","invertebrates",51.8,5.363,2
501373,"Beet curly top Iran virus-[Yazd]","land plants",40.6,2.844,5
2686073,"Burg el Arab virus","vertebrates",37.2,10.846,9
2283299,"Mycobacterium phage PinheadLarry","bacteria",66.4,68.39,100
333293,"Ageratum leaf curl virus","land plants",42.1,2.735,6
307997,"Tradescantia mild mosaic virus","land plants",43.9,1.514,1
12466,"Barley mild mosaic virus","land plants",48.9861,10.786,3
223264,"East African cassava mosaic Malawi virus","land plants",44.2054,5.558,7
2283261,"Mycobacterium phage Thyatira","bacteria",64.6,63.874,96
2686234,"Mycobacterium phage Lephleur","bacteria",68.9,67.349,92
742163,"Duranta leaf curl virus","land plants",43.7,2.759,6
1667371,"Brucella phage 11sa_19","bacteria",48.2,41.143,58
2508192,"Escherichia phage vB_EcoM_WFH","bacteria",46.1,71.283,105
2719572,"Pseudomonas phage Epa22","bacteria",55.4,65.897,93
2480172,"Cragig virus 1","invertebrates",39.5,7.967,2
1647805,"Drakaea virus A","land plants",39.475,7.395,6
38416,"Simian adenovirus 19","vertebrates",52.2,34.064,36
1673885,"Mycobacterium phage Phamished","bacteria",66.5,68.515,101
1319980,"Staphylococcus phage PSa3","bacteria",29.6,17.602,20
338107,"Escherichia phage ID62","bacteria",44.9,6.051,10
1871678,"Lactococcus phage 28201","bacteria",35.8,34.396,51
693015,"Punique virus","invertebrates",41.9864,12.406,4
2010273,"Culex negev-like virus 1","invertebrates",43.4,10.859,4
589918,"Carrot cryptic virus","land plants",47.0699,3.747,2
2169726,"Cacao yellow vein banding virus","land plants",44.1,7.454,4
1168548,"Salmonella phage vB_SemP_Emek","bacteria",47.7,39.783,70
2661693,"Taro-associated totivirus L","land plants",48.9,4.96,2
2250308,"Mycobacterium phage ShereKhan","bacteria",63.1,76.133,143
2340808,"Cluster bean endornavirus 1","land plants",44.5,12.895,1
2558806,"Streptococcus satellite phage Javan651","bacteria",36.8,8.936,12
2562234,"Escherichia phage Lilleven","bacteria",44.4,6.09,9
1129192,"Bacillus phage BCP8-2","bacteria",39.5,159.071,220
2250337,"Streptomyces phage Crosby","bacteria",68.3,54.036,82
72201,"Armadillidium vulgare iridescent virus","invertebrates",35.1,220.222,203
2863278,"Klebsiella phage vB_KpnM_TU02","bacteria",39.8,166.23,299
2024321,"Shigella phage Sf23","bacteria",35.4,167.678,271
1622115,"Pseudomonas phage ZC03","bacteria",42.6,69.844,85
2558629,"Streptococcus satellite phage Javan313","bacteria",38.4,13.409,17
96892,"Nanovirus-like particle","land plants",41.4,1.379,1
1935440,"Alternaria alternata fusarivirus 1","fungi",49.9,6.647,3
2599842,"Gordonia phage CloverMinnie","bacteria",68.7,61.098,84
1701837,"Streptococcus phage phiARI0746","bacteria",39.6,33.181,42
1796012,"Pacific flying fox faeces associated circular DNA virus-3","vertebrates",44.6,2.214,2
1932885,"Acinetobacter phage vB_AbaP_AS12","bacteria",39.3,41.402,49
2755160,"Parry's Creek negev-like virus 1","invertebrates",44.6,10.939,4
2484247,"Vibrio phage VpaJT_1","bacteria",49.2,60.177,93
2234027,"Mycobacterium phage Erk16","bacteria",59.6,64.877,89
2461343,"University of Giessen virus 2","vertebrates",41.7031,10.368,4
2488785,"Mycobacterium phage ExplosioNervosa","bacteria",62.5,53.014,95
338118,"Enterobacteria phage NC11","bacteria",45.1,5.386,11
2493122,"Sulfolobales Beppu filamentous phage 1","archaea",35.6,37.919,66
1034124,"Mycobacterium phage Shaka","bacteria",63.9,51.369,86
1923446,"Shahe picorna-like virus 3","invertebrates",45.8,8.352,2
423476,"Streptococcus phage phi3396","bacteria",37.5,38.528,64
2653651,"Xanthomonas virus phiXaf18","bacteria",63,47.407,67
2005322,"Milolii virus","invertebrates",45.3,10.475,1
1391224,"Escherichia phage vB_EcoM_PhAPEC2","bacteria",37.7,167.318,254
1922746,"Beihai weivirus-like virus 18","invertebrates",51.6,3.714,1
1247113,"Astrovirus VA4","human",43,6.518,3
2591422,"Brevibacterium phage AGM5","bacteria",60.8,36.231,53
2484218,"Arthrobacter phage Mendel","bacteria",59.8,19.428,28
62099,"Anomala cuprea entomopoxvirus","invertebrates",20,245.717,263
932700,"Muir Springs virus","invertebrates",34.8,12.58,5
1158680,"Pseudomonas phage NH-4","bacteria",55.5,66.116,94
2748254,"Okola virus","invertebrates",36.1057,12.247,3
2548126,"Streptococcus phage Javan363","bacteria",39.7,29.384,44
990305,"Saimiri sciureus papillomavirus 2","vertebrates",48,7.657,6
1860193,"Streptococcus phage phiZJ20091101-4","bacteria",41.6,41.057,64
1873990,"Escherichia phage vB_EcoM_Alf5","bacteria",39,87.662,133
2664132,"Escherichia phage SP22","bacteria",38.9,87.251,130
2547986,"Streptococcus phage Javan117","bacteria",37.7,40.234,58
871658,"Guppy virus 6","vertebrates",52.6,1.626,1
2034156,"Watermelon crinkle leaf-associated virus 1","land plants",36.4033,9.353,3
569949,"Jatropha mosaic India virus-[Lucknow]","land plants",46.8,2.74,6
2268589,"Escherichia phage SRT7","bacteria",50.5,39.883,47
1841196,"Vibrio phage VcP032","bacteria",48.9,33.108,46
1157339,"Aeropyrum coil-shaped virus","archaea",46.7,24.893,57
2601697,"Salmonella phage 2-3","bacteria",39.6,114.986,164
341673,"Duck parvovirus","vertebrates",46,5.133,4
1050407,"Grapevine vein clearing virus","land plants",46.6,7.753,3
1225792,"Pseudomonas phage JBD25","bacteria",62.5,39.552,55
526118,"Morganella phage MmP1","bacteria",46.5,38.457,49
1983592,"Vibrio phage JSF1","bacteria",37.1,126.082,227
2558666,"Streptococcus satellite phage Javan375","bacteria",35.5,12.015,19
1397672,"Tomato leaf curl betasatellite-[India:Valsad:2012]","land plants",37.2,1.351,1
10845,"Escherichia phage St-1","bacteria",45.2,6.094,11
2662296,"Lactococcus phage P1532","bacteria",35.4,29.075,46
377610,"Malvastrum leaf curl Guangdong virus","land plants",42.6,2.767,6
2004966,"Rhinolophus associated gemykibivirus 2","vertebrates",48.6,1.998,1
365150,"Lolium latent virus","land plants",52.1,7.674,6
2695842,"Escherichia phage rV5_ev156","bacteria",43.7,136.385,214
1508683,"Escherichia coli O157 typing phage 8","bacteria",38.9,88.998,133
443746,"Asparagus virus 1","land plants",40.7,9.741,1
1243178,"Rubus canadensis virus 1","land plants",40.6,8.328,5
2575354,"Gordonia phage EnalisNailo","bacteria",67.1,51.094,76
1985188,"Neofusicoccum luteum fusarivirus 1","fungi",44.3,6.244,2
12881,"Satellite tobacco mosaic virus","land plants",45.8,1.058,2
307461,"Apocheima cinerarium nucleopolyhedrovirus","invertebrates",33.4,123.876,117
2162701,"Bos taurus papillomavirus 24","vertebrates",41.5,7.256,7
1987732,"Bat associated cyclovirus 7","vertebrates",40.7,2.379,1
1927016,"Clostridium phage Clo-PEP-1","bacteria",34.1,50.401,69
1911102,"Lodeiro virus","invertebrates",39.2,9.85,5
35516,"Trivittatus virus","invertebrates",34.0769,12.436,4
2116436,"Wenling yellow goosefish hantavirus","vertebrates",46.8,6.403,1
1647463,"Salmonella phage SEN34","bacteria",49.9,40.74,63
2507947,"Citrus leaf blotch virus Ac","land plants",40.3,8.678,3
220813,"Zinnia leaf curl virus-associated DNA beta","land plants",39.5,1.354,1
2576487,"Escherichia phage vB_EcoS-2004III","bacteria",44.4,44.219,66
2591051,"Achromobacter phage vB_AxyS_19-32_Axy16","bacteria",56.2,46.178,58
1916154,"Streptococcus phage IPP14","bacteria",38.4,37.252,49
2024284,"Streptomyces phage DrGrey","bacteria",59.5,56.076,82
221524,"Bhendi yellow vein mosaic virus-[301]","land plants",43.9,2.741,6
2835964,"Mycobacterium phage Hail","bacteria",67.5,53.746,78
446549,"Lucky bamboo bacilliform virus","land plants",48.8,7.522,7
2707323,"Synchytrium chytrid fungus MELD element","fungi",48.6,10.266,5
1604871,"Yak enterovirus","vertebrates",51.1,7.382,1
77344,"Japanese iris necrotic ring virus","land plants",51.5,4.014,6
2163901,"Synechococcus phage S-B64","bacteria",41.3,151.867,156
100220,"Bohle iridovirus","vertebrates",55.2,103.531,100
1235653,"Propionibacterium phage PHL111M01","bacteria",54.3,29.14,45
2030922,"Enterococcus phage phiSHEF2","bacteria",34.6,41.712,68
2027271,"Lactococcus phage LP0604","bacteria",34.9,30.547,54
2558830,"Streptococcus satellite phage Javan736","bacteria",39.2,13.616,23
2719196,"Pseudomonas phage Epa39","bacteria",54.9,66.708,90
48876,"Heracleum latent virus","land plants",46.7,3.006,3
2024214,"Salmonella phage vB_SenS_PVP-SE2","bacteria",50,42.425,60
1089114,"Mycobacterium phage Avrafan","bacteria",66.6,41.901,62
346882,"Betalipothrixvirus pozzuoliense","archaea",36.9,39.577,66
2558709,"Streptococcus satellite phage Javan45","bacteria",36.5,13.799,22
2010319,"Eupatorium yellow vein mosaic betasatellite","land plants",41.5,1.359,1
906669,"Escherichia phage HK639","bacteria",52.5,49.576,76
1922654,"Beihai rhabdo-like virus 4","invertebrates",46,10.714,3
2558766,"Streptococcus satellite phage Javan596","bacteria",39.7,9.159,15
1081702,"Tamus red mosaic virus","land plants",48.7,6.495,5
2170039,"Potato virus U","land plants",43.0013,10.762,2
185900,"rhinovirus B27","human",39.5,7.217,1
38525,"avian metapneumovirus","vertebrates",42.7,13.373,9
2656517,"Pseudomonas phage vB_PA45_GUMS","bacteria",49.4,92.467,175
1332246,"Houston virus","invertebrates",37.7,20.192,3
2848039,"Pseudomonas phage PA8P1","bacteria",55.7,65.69,93
2057931,"Torque teno mini virus SHA","human",38.2,2.88,3
1476584,"Currant latent virus","land plants",41.499,9.895,2
1852683,"Helicobacter phage Sw577G","bacteria",36.3,26.906,32
1636560,"Lactococcus phage 936 group phage Phi155","bacteria",34.9,32.15,55
2558562,"Streptococcus satellite phage Javan2","bacteria",39.5,9.826,15
2588134,"Gordonia phage LordFarquaad","bacteria",66.8,47.863,76
198597,"Ophiostoma mitovirus 3a","fungi",38.1,2.617,1
1425362,"Carrot Ch virus 2","land plants",36.3,8.047,3
227137,"Okra yellow vein mosaic virus","land plants",43.5,2.739,6
111427,"Diuris virus Y","land plants",39.6,1.719,1
2548164,"Streptococcus phage Javan433","bacteria",40,41.549,70
1868219,"Bat associated circovirus 2","vertebrates",47.3,1.798,2
2282631,"Klebsiella phage KN4-1","bacteria",52.9,41.219,20
2500816,"Lactococcus phage 8V08","bacteria",35.1,32.312,54
2268588,"Escherichia phage UB","bacteria",34,353.081,515
12253,"Tomato mosaic virus","land plants",41.7,6.383,4
222713,"Cotton leaf curl Kokhran virus-[72b]","land plants",43.1,2.748,6
310907,"Enterovirus H","vertebrates",42.9,7.374,1
120381,"human papillomavirus 87","human",45.2,7.998,7
2724309,"Aeromonas phage AhyVDH1","bacteria",58,39.175,59
382273,"Prochlorococcus phage P-SSP3","bacteria",37.9,46.198,53
12045,"Potato leafroll virus","land plants",49.5,5.987,8
1821565,"Gordonia phage Yeezy","bacteria",66.7,51.884,86
1891746,"Gammapolyomavirus anseris","vertebrates",48,5.254,6
754049,"Vibrio phage pYD21-A","bacteria",43.9,46.917,74
1922777,"Changjiang narna-like virus 2","invertebrates",57.6,4.823,2
1034104,"Mycobacterium phage Harvey","bacteria",66.5,68.193,99
1513263,"Gammapapillomavirus 18","human",36.8,7.339,7
2553070,"Lampyris noctiluca chuvirus-like virus 1","invertebrates",39.5,6.829,1
204819,"Gremmeniella mitovirus S1","fungi",30.6,2.572,1
1916414,"Pectobacterium phage PP101","bacteria",44.9,53.333,79
2691597,"Hipposideros pomona bat coronavirus HKU10-related","vertebrates",38.3,28.514,8
2070199,"Escherichia phage EP335","bacteria",42.5,76.622,125
1897437,"Rhodococcus phage Weasels2","bacteria",41.3,134.973,283
2585737,"Escherichia phage vB_Eco_SLUR29","bacteria",44.7,48.466,78
2164102,"Apple rubbery wood virus 1","land plants",32.7153,10.135,3
136234,"Pineapple mealybug wilt-associated virus 2","land plants",43.6,14.861,10
941765,"Tuber aestivum betaendornavirus","fungi",40.4,9.76,1
1034117,"Mycobacterium phage SirHarley","bacteria",59.6,64.791,90
2070058,"Vibrio phage Ares1","bacteria",45.1,80.5,119
1938577,"Vibrio phage pTD1","bacteria",44.5,239.276,209
10562,"Bos taurus papillomavirus 4","vertebrates",42,7.264,8
2794376,"Campylobacter phage F374","bacteria",26.2,131.642,166
910428,"Chilli leaf curl virus-India [India:Papaya:2005]","land plants",43.7,2.764,7
2178917,"Listeria phage LP-KV022","bacteria",36.3,65.128,111
2739382,"Bidens pilosa tombusvirus","land plants",49.7,4.105,3
2041492,"Pectobacterium phage DU_PP_V","bacteria",39.9,106.185,127
1562039,"Norway rat hepacivirus 2","vertebrates",56.1,8.568,1
1732179,"Sulfolobales virus YNP1","archaea",38.5,40.86,71
1911104,"King virus","invertebrates",36.1,10.193,1
170646,"Classical swine fever virus 39","vertebrates",47.2,12.297,1
1983543,"Flavobacterium phage V175","bacteria",29.7,49.016,78
289999,"Stachytarpheta leaf curl virus - [Hn34]","land plants",42.4,2.748,6
2483664,"Gordonia phage Affeca","bacteria",67.5,59.156,87
2081631,"Salmonella phage SE131","bacteria",44.2,89.91,147
285013,"Sulfolobus virus STSV1","archaea",35.2,75.294,74
46014,"Plasmavirus L2","bacteria",32,11.965,14
2777381,"Salmonella phage GEC_vB_NS7","bacteria",39,86.886,147
948870,"Escherichia phage phi92","bacteria",37.4,148.612,250
2508194,"Escherichia phage vB_EcoM_KWBSE43-6","bacteria",46.1,158.607,222
1463810,"Mycobacterium phage 40BC","bacteria",70,71.565,100
85516,"Navel orange infectious mottling virus","land plants",46.1655,8.203,2
2447824,"Rousettus leschenaultii polyomavirus 1","vertebrates",42.8,5.007,6
2695849,"Escherichia phage ESSI2_ev040","bacteria",50.8,30.597,41
2548116,"Streptococcus phage Javan346","bacteria",36.3,33.554,35
1429903,"Mycobacterium phage Bernardo","bacteria",67.4,68.196,100
2656548,"Microbacterium phage Gina","bacteria",68.6,53.403,96
1984753,"Flavobacterium phage VK20","bacteria",29.8,46.496,74
12037,"Barley yellow dwarf virus","land plants",48.5,5.707,5
2301531,"Salmonella phage Mooltan","bacteria",44.9,156.882,211
1567470,"Mycobacterium phage Gadost","bacteria",64,51.376,88
984175,"Cronobacter phage ENT39118","bacteria",53.1,39.012,38
1072333,"Lygus lineolaris virus 1","invertebrates",46.2,9.655,1
1543207,"Rose leaf rosette-associated virus","land plants",46.7,17.656,13
2936817,"Staphylococcus phage 55","bacteria",35.7,41.902,77
2743878,"Rheinheimera phage vB_RspM_barba_12-7H","bacteria",38.2,80.347,161
1815972,"Mycobacterium phage ArcherNM","bacteria",64.2,52.561,91
1165159,"Lactococcus phage ASCC531","bacteria",34.6,31.773,57
2565706,"Flavobacterium phage FCOV-F54","bacteria",30.1,47.204,74
2696413,"Escherichia phage kvi","bacteria",40.5,163.673,263
2565672,"Rheinheimera phage vB_RspM_Barba26A","bacteria",38.4,82.164,140
2746248,"Coleopteran phenui-related virus OKIAV308","invertebrates",26.8146,12.04,3
763552,"Mus musculus papillomavirus type 1","vertebrates",46.6,7.51,7
2478911,"Hop yellow virus","land plants",43.1879,8.267,4
1175853,"Deltapapillomavirus 5","vertebrates",48,8.029,9
1655023,"Propionibacterium phage Wizzo","bacteria",54.4,29.463,44
2591029,"Aeromonas phage LAh5","bacteria",59.3,41.985,53
2500151,"Vibrio phage LP.2","bacteria",43.1,37.128,68
1542131,"Dickeya phage phiD3","bacteria",49.4,152.308,190
1416028,"Escherichia phage vB_EcoS_AHP42","bacteria",44,46.847,76
1267585,"Nilaparvata lugens honeydew virus 1","invertebrates",40.1,10.967,1
1922710,"Beihai sphaeromadae virus 4","invertebrates",46.1,6.096,2
1034119,"Mycobacterium phage Yoshand","bacteria",66.5,68.719,103
1535266,"Sida yellow vein mosaic alphasatellite","land plants",41.6,1.387,1
2596673,"Serratia phage MyoSmar","bacteria",49.2,68.745,105
1435446,"Sclerotinia sclerotiorum mitovirus 6","fungi",48.1,2.584,1
2230900,"Bark beetle-associated genomovirus 5","invertebrates",52.5,2.205,2
1415627,"Gyrovirus Tu243","human",48.5,2.02,3
2126924,"Microbacterium phage BeeBee8","bacteria",63.3,42.027,64
1923391,"Sanxia tombus-like virus 7","invertebrates",53.8,4.557,4
1923641,"Wenzhou picorna-like virus 53","invertebrates",43,9.388,2
2510523,"Mycobacterium phage BabeRuth","bacteria",66.1,42.595,70
1610829,"Klebsiella phage 1513","bacteria",50.6,49.462,72
1416334,"Lactobacillus phage phi jlb1","bacteria",37.4,38.269,54
1284208,"Fusarium graminearum hypovirus 1","fungi",47.7,13.035,2
2249313,"Phascolarctid gammaherpesvirus 1","vertebrates",44.7,116.729,76
2041211,"Klebsiella phage vB_KpnS_IME279","bacteria",59.3,42.518,59
1922723,"Beihai tombus-like virus 2","invertebrates",42.8,3.737,2
2015842,"Mycobacterium phage BobSwaget","bacteria",63.3,50.4,88
1755588,"Sicinivirus A","vertebrates",54.7,9.798,1
1881443,"Vibrio phage 1.250.O._10N.261.55.E11","bacteria",48.9,59.981,94
1805955,"Bacillus phage Vinny","bacteria",38,162.865,297
2548246,"Streptococcus phage Javan533","bacteria",38.1,37.968,58
2056880,"Cacao swollen shoot Ghana J virus","land plants",40.3,7.167,5
2025479,"Tick-associated genomovirus 3","invertebrates",48.3,2.238,3
1837218,"Salmonella phage phSE-2","bacteria",42.9,49.167,83
10532,"simian adenovirus 7","vertebrates",56.3,31.045,27
2548180,"Streptococcus phage Javan457","bacteria",39.1,30.892,44
940280,"Carnation yellow fleck virus","land plants",45.3,15.602,9
1868844,"Staphylococcus phage vB_SscM-1","bacteria",31.8,139.681,203
2736286,"Vibrio phage BBMuffin","bacteria",40.2,128.29,196
2070717,"Vibrio phage 1.052.A._10N.286.46.C3","bacteria",46.8,42.889,75
1006061,"avihepatovirus A1","vertebrates",43.5,7.711,1
1821562,"Gordonia phage SoilAssassin","bacteria",66.8,47.88,74
1219877,"Croton yellow vein mosaic virus-India","land plants",42.7,2.758,6
1923765,"Xingshan nematode virus 6","invertebrates",53.8,6.527,3
2591230,"Coronavirus BtSk-AlphaCoV/GX2018C","vertebrates",40.3,28.146,5
10678,"Punavirus P1","bacteria",47.9,97.213,98
2601618,"Klebsiella phage KMI7","bacteria",41.9,131.2,187
384642,"Enterobacteria phage ID18","bacteria",45.2,5.486,11
1923074,"Hubei permutotetra-like virus 10","invertebrates",47.8,4.25,2
2499037,"Mycobacterium phage DrLupo","bacteria",57.5,70.03,110
698487,"Escherichia phage K1H","bacteria",51.2,41.632,50
1873902,"Arthrobacter phage Conboy","bacteria",61.7,70.096,111
1814959,"Streptococcus phage 9873","bacteria",36.9,32.813,48
1740348,"Alphasatellite 3","land plants",45.1,1.307,1
1661715,"Thermobifida phage P1312","bacteria",65.9,60.284,77
2707317,"Powellomyces chytrid fungus MELD virus 3","fungi",49.2,22.347,16
2070190,"Paenibacillus phage Dragolir","bacteria",44,41.131,68
1959845,"Molossus molossus circovirus 4","vertebrates",36.1,1.805,2
1560313,"Lactococcus phage WRP3","bacteria",32.4,130.008,178
2548276,"Streptococcus phage Javan589","bacteria",40.6,34.523,52
2546635,"Enterococcus phage vB_EfaS_Ef2.2","bacteria",39.9,58.4,101
908061,"Bhendi yellow vein India virus [India:Tirupathi OY98:2005]","land plants",43.8,2.793,7
2898542,"Lactococcus phage CB14","bacteria",34.8,29.459,52
